order_id,customer_id,restaurant_id,order_date,gross_order_value,coupon_id,discount_amount,net_order_value,delivery_fee,food_cost,order_status,payment_method,estimated_zomato_revenue,estimated_profit,order_type,order_month,order_day,order_hour
1.0,3,9,2025-01-03,259.79,,0.0,259.79,45.0,161.18,Delivered,Card,91.76,59.76,Non-Coupon Order,2025-01,Friday,0
2.0,212,7,2025-02-02,520.16,,0.0,520.16,0.0,330.57,Delivered,Cash,104.03,72.03,Non-Coupon Order,2025-02,Sunday,0
3.0,79,19,2025-01-03,232.63,,0.0,232.63,55.0,131.71,Delivered,Cash,106.18,74.18,Non-Coupon Order,2025-01,Friday,0
4.0,3,3,2025-04-24,402.02,,0.0,402.02,0.0,223.11,Delivered,Card,100.51,68.51,Non-Coupon Order,2025-04,Thursday,0
5.0,148,20,2025-12-10,249.34,,0.0,249.34,45.0,145.35,Delivered,Wallet,94.87,62.87,Non-Coupon Order,2025-12,Wednesday,0
6.0,96,16,2025-06-19,506.29,,0.0,506.29,55.0,292.34,Delivered,Card,156.26,124.26,Non-Coupon Order,2025-06,Thursday,0
7.0,102,18,2025-02-14,782.91,,0.0,782.91,35.0,483.71,Delivered,Cash,175.92,143.92,Non-Coupon Order,2025-02,Friday,0
8.0,35,9,2025-09-19,459.8,,0.0,459.8,55.0,293.62,Delivered,Card,137.76,105.76,Non-Coupon Order,2025-09,Friday,0
9.0,211,8,2025-04-15,424.93,3.0,84.99,339.94,0.0,260.37,Delivered,Card,84.99,-32.0,Coupon Order,2025-04,Tuesday,0
10.0,178,19,2025-08-27,924.49,,0.0,924.49,35.0,482.75,Delivered,Upi,238.39,206.39,Non-Coupon Order,2025-08,Wednesday,0
11.0,129,22,2025-11-07,226.49,,0.0,226.49,45.0,141.71,Delivered,Cash,101.62,69.62,Non-Coupon Order,2025-11,Friday,0
12.0,225,22,2025-09-08,469.61,,0.0,469.61,35.0,267.42,Delivered,Cash,152.4,120.4,Non-Coupon Order,2025-09,Monday,0
13.0,291,10,2025-12-25,439.26,,0.0,439.26,25.0,259.37,Delivered,Wallet,104.07,72.07,Non-Coupon Order,2025-12,Thursday,0
14.0,229,27,2025-03-08,437.91,,0.0,437.91,0.0,236.7,Delivered,Cash,96.34,64.34,Non-Coupon Order,2025-03,Saturday,0
15.0,200,14,2025-09-24,399.77,,0.0,399.77,35.0,253.78,Delivered,Upi,134.94,102.94,Non-Coupon Order,2025-09,Wednesday,0
16.0,84,17,2025-09-13,443.91,,0.0,443.91,25.0,250.73,Delivered,Cash,113.78,81.78,Non-Coupon Order,2025-09,Saturday,0
17.0,244,11,2025-01-05,908.03,,0.0,908.03,35.0,579.72,Delivered,Wallet,262.01,230.01,Non-Coupon Order,2025-01,Sunday,0
18.0,281,7,2025-12-14,274.74,,0.0,274.74,35.0,165.83,Delivered,Cash,89.95,57.95,Non-Coupon Order,2025-12,Sunday,0
19.0,19,14,2025-07-19,404.94,,0.0,404.94,25.0,233.72,Delivered,Card,126.24,94.24,Non-Coupon Order,2025-07,Saturday,0
20.0,116,26,2025-06-26,558.06,,0.0,558.06,25.0,296.16,Delivered,Wallet,164.52,132.52,Non-Coupon Order,2025-06,Thursday,0
21.0,36,10,2025-01-03,707.35,,0.0,707.35,35.0,395.86,Delivered,Upi,162.32,130.32,Non-Coupon Order,2025-01,Friday,0
