offer_id,customer_id,coupon_id,offer_date,channel
1,289,1,2025-09-11,App Notification
2,133,4,2025-01-15,App Notification
3,129,5,2025-02-04,App Notification
4,257,8,2025-06-15,App Notification
5,254,4,2025-03-09,Email
6,205,2,2025-09-02,Homepage Banner
7,121,4,2025-01-01,App Notification
8,135,4,2025-10-23,SMS
9,45,7,2025-10-10,App Notification
10,273,8,2025-08-29,SMS
11,105,8,2025-08-23,Homepage Banner
12,251,2,2025-02-27,App Notification
13,39,1,2025-02-08,App Notification
14,18,3,2025-02-04,Homepage Banner
15,143,1,2025-02-20,App Notification
16,266,8,2025-07-03,Homepage Banner
17,156,1,2025-11-05,Homepage Banner
18,229,8,2025-06-14,App Notification
19,40,4,2025-07-26,App Notification
20,94,7,2025-11-14,Homepage Banner
21,258,5,2025-12-06,Homepage Banner
22,194,3,2025-02-10,SMS
23,39,1,2025-07-01,App Notification
24,299,6,2025-11-02,SMS
25,242,4,2025-03-03,Homepage Banner
26,199,1,2025-07-31,Homepage Banner
27,13,4,2025-06-12,Email
28,86,8,2025-08-10,SMS
29,132,2,2025-06-25,Homepage Banner
30,119,3,2025-08-10,SMS
31,160,5,2025-12-12,App Notification
32,95,6,2025-07-05,Email
33,173,8,2025-08-06,App Notification
34,109,1,2025-07-06,Homepage Banner
35,197,2,2025-05-23,Homepage Banner
36,99,8,2025-07-07,Homepage Banner
37,27,6,2025-07-07,Homepage Banner
38,103,7,2025-10-31,App Notification
39,53,8,2025-08-13,SMS
40,290,3,2025-04-27,Homepage Banner
41,66,7,2025-10-01,SMS
42,204,4,2025-05-20,SMS
43,265,7,2025-11-01,App Notification
44,181,6,2025-05-29,SMS
45,262,8,2025-08-09,Email
46,179,3,2025-08-10,SMS
47,268,8,2025-08-16,Homepage Banner
48,192,6,2025-12-03,Email
49,286,7,2025-10-22,Homepage Banner
50,154,8,2025-08-16,Homepage Banner
51,290,1,2025-02-09,App Notification
52,250,7,2025-10-03,App Notification
53,200,1,2025-11-18,Email
54,106,8,2025-08-21,SMS
55,249,3,2025-04-11,SMS
56,181,1,2025-09-08,Homepage Banner
57,248,4,2025-07-07,App Notification
58,255,2,2025-09-25,App Notification
59,141,4,2025-10-30,Homepage Banner
60,101,2,2025-04-16,SMS
61,55,4,2025-07-08,Email
62,263,4,2025-04-01,App Notification
63,141,4,2025-10-15,Homepage Banner
64,214,5,2025-08-31,Email
65,215,1,2025-06-24,SMS
66,222,7,2025-10-05,Email
67,88,4,2025-07-07,Email
68,1,4,2025-10-16,Email
69,289,1,2025-03-28,App Notification
70,154,8,2025-07-21,App Notification
71,186,6,2025-07-07,Homepage Banner
72,118,5,2025-08-17,SMS
73,97,6,2025-09-06,SMS
74,97,6,2025-03-22,Email
75,196,7,2025-10-13,Email
76,88,3,2025-12-03,App Notification
77,113,4,2025-07-30,Email
78,206,2,2025-12-05,App Notification
79,127,7,2025-10-02,SMS
80,196,3,2025-01-15,App Notification
81,55,3,2025-05-18,App Notification
82,243,3,2025-07-10,Email
83,32,7,2025-10-30,Homepage Banner
84,78,6,2025-10-02,Email
85,185,3,2025-01-10,Homepage Banner
86,271,4,2025-09-03,Homepage Banner
87,102,7,2025-10-18,Homepage Banner
88,22,2,2025-01-28,Email
89,196,4,2025-10-12,Email
90,148,4,2025-09-06,SMS
91,159,7,2025-10-31,Email
92,157,3,2025-01-21,Homepage Banner
93,212,6,2025-01-08,Email
94,222,2,2025-04-21,SMS
95,50,7,2025-10-03,SMS
96,247,2,2025-08-10,App Notification
97,277,4,2025-01-21,Homepage Banner
98,223,8,2025-07-21,SMS
99,40,3,2025-10-27,App Notification
100,86,7,2025-10-14,Homepage Banner
101,151,7,2025-11-12,Homepage Banner
102,258,1,2025-07-14,SMS
103,7,4,2025-12-24,Email
104,191,8,2025-06-20,Email
105,2,5,2025-04-28,Email
106,2,5,2025-03-19,Homepage Banner
107,135,3,2025-12-27,SMS
108,98,4,2025-09-07,Email
109,204,3,2025-03-02,Homepage Banner
110,298,5,2025-04-12,SMS
111,107,5,2025-07-28,App Notification
112,251,6,2025-03-06,Email
113,225,5,2025-08-27,SMS
114,244,1,2025-12-02,App Notification
115,103,8,2025-07-21,App Notification
116,1,5,2025-01-27,Email
117,225,7,2025-11-13,App Notification
118,289,2,2025-08-29,Email
119,286,2,2025-09-02,Homepage Banner
120,96,7,2025-10-22,App Notification
121,248,2,2025-01-27,App Notification
122,228,1,2025-02-26,Homepage Banner
123,2,6,2025-05-10,App Notification
124,77,4,2025-01-20,SMS
125,15,5,2025-08-04,App Notification
126,197,4,2025-01-03,Homepage Banner
127,273,4,2025-08-01,App Notification
128,169,5,2025-10-22,App Notification
129,221,1,2025-07-23,App Notification
130,161,6,2025-08-02,SMS
131,289,2,2025-08-29,Email
132,178,5,2025-12-02,SMS
133,223,6,2025-04-05,Homepage Banner
134,14,7,2025-11-07,Homepage Banner
135,201,1,2025-01-22,App Notification
136,185,4,2025-07-22,Homepage Banner
137,242,2,2025-01-15,Email
138,269,4,2025-02-04,Homepage Banner
139,17,4,2025-03-16,Homepage Banner
140,34,2,2025-08-31,Email
141,247,8,2025-06-12,Homepage Banner
142,55,2,2025-11-19,Homepage Banner
143,296,8,2025-06-29,Email
144,33,6,2025-10-23,App Notification
145,58,5,2025-05-28,Email
146,205,3,2025-10-05,Email
147,139,6,2025-03-04,SMS
148,144,8,2025-08-29,SMS
149,33,1,2025-04-17,App Notification
150,58,7,2025-10-04,App Notification
151,287,2,2025-12-29,Email
152,78,8,2025-07-05,SMS
153,265,8,2025-07-15,SMS
154,244,2,2025-11-15,Email
155,208,4,2025-03-15,App Notification
156,285,1,2025-04-06,Homepage Banner
157,76,4,2025-10-31,Homepage Banner
158,85,5,2025-07-30,SMS
159,298,1,2025-03-27,Email
160,254,4,2025-09-29,App Notification
161,208,7,2025-10-04,Homepage Banner
162,84,8,2025-08-23,Email
163,172,4,2025-05-21,App Notification
164,103,1,2025-08-12,Homepage Banner
165,219,1,2025-10-05,Homepage Banner
166,221,8,2025-08-03,Homepage Banner
167,255,3,2025-08-05,Email
168,72,6,2025-02-16,SMS
169,77,6,2025-12-07,Email
170,47,3,2025-08-02,Homepage Banner
171,80,5,2025-04-08,App Notification
172,20,2,2025-11-03,Email
173,254,7,2025-10-03,Homepage Banner
174,275,5,2025-12-23,Homepage Banner
175,179,7,2025-10-05,SMS
176,115,2,2025-06-03,Homepage Banner
177,15,2,2025-09-25,Email
178,178,3,2025-10-08,Homepage Banner
179,78,3,2025-11-04,Email
180,32,3,2025-06-14,Homepage Banner
181,220,6,2025-08-14,SMS
182,78,2,2025-03-07,SMS
183,191,6,2025-03-17,Homepage Banner
184,240,4,2025-03-29,SMS
185,110,4,2025-02-19,App Notification
186,245,8,2025-07-22,Email
187,113,2,2025-07-27,SMS
188,5,5,2025-08-26,App Notification
189,106,6,2025-05-07,Homepage Banner
190,87,4,2025-03-31,Email
191,211,4,2025-11-10,Homepage Banner
192,177,6,2025-11-23,Homepage Banner
193,100,8,2025-08-07,Email
194,42,8,2025-06-26,Email
195,226,1,2025-05-07,SMS
196,283,5,2025-05-12,SMS
197,149,4,2025-01-24,Homepage Banner
198,179,8,2025-06-30,Email
199,257,7,2025-10-20,SMS
200,128,7,2025-10-19,Homepage Banner
201,271,1,2025-02-09,App Notification
202,284,4,2025-06-01,App Notification
203,260,8,2025-07-19,SMS
204,181,7,2025-10-09,SMS
205,235,5,2025-07-20,Homepage Banner
206,258,5,2025-10-12,Email
207,144,6,2025-10-10,SMS
208,172,1,2025-06-25,SMS
209,258,6,2025-09-29,SMS
210,209,2,2025-09-03,App Notification
211,156,2,2025-12-05,SMS
212,87,8,2025-07-13,Homepage Banner
213,197,8,2025-07-20,SMS
214,249,7,2025-10-08,Email
215,87,4,2025-02-25,App Notification
216,258,2,2025-07-21,Homepage Banner
217,244,8,2025-06-11,Homepage Banner
218,281,3,2025-12-18,Email
219,253,4,2025-10-24,Email
220,263,3,2025-03-16,App Notification
221,117,2,2025-09-25,SMS
222,101,5,2025-03-29,SMS
223,99,4,2025-04-25,App Notification
224,211,4,2025-09-26,Homepage Banner
225,59,3,2025-08-18,Homepage Banner
226,85,7,2025-10-19,Email
227,87,5,2025-11-22,SMS
228,244,5,2025-02-19,Email
229,26,3,2025-10-05,Email
230,87,5,2025-12-19,App Notification
231,292,4,2025-06-14,Email
232,27,6,2025-11-12,SMS
233,85,3,2025-08-30,App Notification
234,130,6,2025-04-24,App Notification
235,195,6,2025-05-05,App Notification
236,41,3,2025-09-09,Email
237,204,5,2025-03-24,Homepage Banner
238,203,5,2025-07-09,SMS
239,276,5,2025-03-18,App Notification
240,178,2,2025-06-21,SMS
241,49,8,2025-07-19,Homepage Banner
242,50,8,2025-06-19,App Notification
243,10,3,2025-10-12,Email
244,134,2,2025-12-30,Email
245,277,6,2025-09-01,SMS
246,169,3,2025-04-08,App Notification
247,59,2,2025-09-08,SMS
248,106,8,2025-08-11,App Notification
249,228,3,2025-07-09,Email
250,100,6,2025-10-16,App Notification
251,266,2,2025-04-14,SMS
252,281,6,2025-11-22,SMS
253,121,2,2025-08-06,Email
254,27,5,2025-10-12,SMS
255,48,5,2025-06-11,SMS
256,31,3,2025-09-29,App Notification
257,247,8,2025-08-17,Homepage Banner
258,261,7,2025-10-01,Email
259,293,1,2025-05-20,SMS
260,110,4,2025-12-02,Homepage Banner
261,162,3,2025-06-18,SMS
262,144,3,2025-11-03,SMS
263,149,8,2025-07-14,Homepage Banner
264,43,1,2025-12-27,App Notification
265,280,4,2025-09-12,App Notification
266,235,5,2025-12-30,Email
267,120,2,2025-01-21,App Notification
268,24,2,2025-04-26,Email
269,171,4,2025-09-04,Email
270,9,3,2025-06-04,Email
271,64,1,2025-03-31,Email
272,106,5,2025-11-12,Homepage Banner
273,149,1,2025-03-17,SMS
274,49,8,2025-06-07,SMS
275,177,2,2025-09-29,Email
276,299,5,2025-01-10,Homepage Banner
277,170,1,2025-08-05,Email
278,37,3,2025-09-19,SMS
279,196,5,2025-08-31,Homepage Banner
280,58,7,2025-10-19,Homepage Banner
281,225,5,2025-06-17,SMS
282,53,8,2025-08-10,SMS
283,88,6,2025-05-01,SMS
284,184,1,2025-09-12,Email
285,130,2,2025-07-15,Email
286,63,2,2025-02-07,Homepage Banner
287,146,7,2025-10-05,App Notification
288,211,3,2025-05-24,Homepage Banner
289,225,8,2025-07-16,Email
290,20,8,2025-08-16,Email
291,179,7,2025-10-08,App Notification
292,4,5,2025-09-08,Homepage Banner
293,267,8,2025-08-09,Email
294,249,8,2025-06-16,Email
295,212,8,2025-07-04,SMS
296,150,7,2025-10-12,SMS
297,119,5,2025-04-26,App Notification
298,47,8,2025-06-19,Email
