order_month,total_orders,total_revenue,total_profit,total_discount
2025-01,203,28696.26,22080.26,120.0
2025-02,172,25079.84,19500.84,75.0
2025-03,181,27648.88,21404.87,452.01
2025-04,165,24112.170000000002,18452.18,379.99
2025-05,199,31509.77,24447.63,694.14
2025-06,194,29568.42,22400.42,960.0
2025-07,190,30184.72,21667.09,2437.63
2025-08,181,27127.93,19846.9,1489.03
2025-09,209,31115.88,23637.88,790.0
2025-10,192,28746.98,21184.1,1418.88
2025-11,182,27204.63,19515.61,1865.02
2025-12,181,28417.36,21805.69,819.67
