order_id,customer_id,restaurant_id,order_date,gross_order_value,coupon_id,discount_amount,net_order_value,delivery_fee,food_cost,order_status,payment_method,estimated_zomato_revenue,estimated_profit
1.00,3,9,2025-01-03,259.79,,0.00,259.79,45.00,161.18,Delivered,Card,91.76,59.76
2.00,212,7,2025-02-02,520.16,,0.00,520.16,0.00,330.57,Delivered,Cash,104.03,72.03
3.00,79,19,2025-01-03,232.63,,0.00,232.63,55.00,131.71,Delivered,Cash,106.18,74.18
4.00,3,3,2025-04-24,402.02,,0.00,402.02,0.00,223.11,Delivered,Card,100.51,68.51
5.00,148,20,2025-12-10,249.34,,0.00,249.34,45.00,145.35,Delivered,Wallet,94.87,62.87
6.00,96,16,2025-06-19,506.29,,0.00,506.29,55.00,292.34,Delivered,Card,156.26,124.26
7.00,102,18,2025-02-14,782.91,,0.00,782.91,35.00,483.71,Delivered,Cash,175.92,143.92
8.00,35,9,2025-09-19,459.80,,0.00,459.80,55.00,293.62,Delivered,Card,137.76,105.76
9.00,211,8,2025-04-15,424.93,3,84.99,339.94,0.00,260.37,Delivered,Card,84.99,-32.00
10.00,178,19,2025-08-27,924.49,,0.00,924.49,35.00,482.75,Delivered,UPI,238.39,206.39
11.00,129,22,2025-11-07,226.49,,0.00,226.49,45.00,141.71,Delivered,Cash,101.62,69.62
12.00,225,22,2025-09-08,469.61,,0.00,469.61,35.00,267.42,Delivered,Cash,152.40,120.40
13.00,291,10,2025-12-25,439.26,,0.00,439.26,25.00,259.37,Delivered,Wallet,104.07,72.07
14.00,229,27,2025-03-08,437.91,,0.00,437.91,0.00,236.70,Delivered,Cash,96.34,64.34
15.00,200,14,2025-09-24,399.77,,0.00,399.77,35.00,253.78,Delivered,UPI,134.94,102.94
16.00,84,17,2025-09-13,443.91,,0.00,443.91,25.00,250.73,Delivered,Cash,113.78,81.78
17.00,244,11,2025-01-05,908.03,,0.00,908.03,35.00,579.72,Delivered,Wallet,262.01,230.01
18.00,281,7,2025-12-14,274.74,,0.00,274.74,35.00,165.83,Delivered,Cash,89.95,57.95
19.00,19,14,2025-07-19,404.94,,0.00,404.94,25.00,233.72,Delivered,Card,126.24,94.24
20.00,116,26,2025-06-26,558.06,,0.00,558.06,25.00,296.16,Delivered,Wallet,164.52,132.52
21.00,36,10,2025-01-03,707.35,,0.00,707.35,35.00,395.86,Delivered,UPI,162.32,130.32
22.00,221,8,2025-10-26,445.63,,0.00,445.63,55.00,236.31,Delivered,Wallet,144.13,112.13
23.00,165,27,2025-10-19,425.02,,0.00,425.02,45.00,231.17,Delivered,UPI,138.50,106.50
24.00,182,28,2025-07-10,263.95,,0.00,263.95,25.00,164.49,Delivered,Wallet,90.99,58.99
25.00,181,3,2025-05-26,537.86,,0.00,537.86,35.00,325.72,Cancelled,UPI,0.00,0.00
26.00,250,4,2025-07-11,610.56,,0.00,610.56,35.00,376.99,Delivered,Wallet,144.90,112.90
27.00,48,20,2025-03-30,446.43,,0.00,446.43,45.00,242.57,Delivered,Cash,134.29,102.29
28.00,138,26,2025-01-18,371.65,,0.00,371.65,55.00,226.02,Delivered,UPI,147.91,115.91
29.00,34,8,2025-09-22,345.28,,0.00,345.28,55.00,196.82,Delivered,Wallet,124.06,92.06
30.00,13,28,2025-08-01,998.08,,0.00,998.08,55.00,614.30,Cancelled,Cash,0.00,0.00
31.00,210,24,2025-04-30,742.56,,0.00,742.56,45.00,459.41,Delivered,UPI,193.51,161.51
32.00,193,9,2025-10-09,467.09,,0.00,467.09,35.00,266.88,Delivered,Cash,119.08,87.08
33.00,1,27,2025-05-05,1147.37,,0.00,1147.37,55.00,633.00,Delivered,Card,307.42,275.42
34.00,285,26,2025-07-02,760.26,6,75.00,685.26,25.00,428.94,Delivered,Card,215.07,108.07
35.00,147,11,2025-07-21,984.39,,0.00,984.39,35.00,610.69,Cancelled,Wallet,0.00,0.00
36.00,155,2,2025-07-08,276.27,,0.00,276.27,35.00,154.75,Delivered,Cash,84.73,52.73
37.00,218,28,2025-01-12,465.23,,0.00,465.23,25.00,265.05,Delivered,Wallet,141.31,109.31
38.00,277,16,2025-05-15,671.33,,0.00,671.33,25.00,382.77,Delivered,Cash,159.27,127.27
39.00,265,24,2025-09-25,418.69,,0.00,418.69,35.00,255.97,Delivered,Cash,118.74,86.74
40.00,60,10,2025-10-23,356.48,,0.00,356.48,55.00,197.28,Delivered,Cash,119.17,87.17
41.00,216,22,2025-05-26,413.46,,0.00,413.46,35.00,246.31,Delivered,Wallet,138.37,106.37
42.00,159,16,2025-02-09,427.61,,0.00,427.61,35.00,262.32,Delivered,Cash,120.52,88.52
43.00,150,11,2025-02-08,347.68,,0.00,347.68,55.00,202.16,Cancelled,UPI,0.00,0.00
44.00,116,8,2025-12-03,660.75,,0.00,660.75,45.00,347.48,Delivered,UPI,177.15,145.15
